68558.17227, 3,   2.220,  9.344,  1.035, 4,   0.092, -0.044,  0.299, 5,   3.420,-39.360, 30.000
68558.19364, 3,   3.773,  9.725,  1.090, 4,   0.202, -0.174, -0.012, 5,   4.200,-39.480, 30.840
68558.21366, 3,   2.901, 10.011,  1.226, 4,   0.303,  0.073, -0.420, 5,   4.680,-39.660, 31.620
68558.23392, 3,   1.675,  9.956,  0.981, 4,   0.392, -0.026, -0.563, 5,   5.100,-39.600, 32.520
68558.25450, 3,  -0.449,  9.834,  0.967, 4,   0.439, -0.139, -0.684, 5,   5.520,-39.600, 33.060
68558.27708, 3,  -0.790,  9.766,  0.708, 4,   0.432, -0.653, -0.518, 5,   5.700,-39.600, 33.660
68558.29657, 3,  -0.163,  9.834,  0.735, 4,   0.388, -0.787, -0.356, 5,   5.880,-39.540, 34.080
68558.31504, 3,  -0.763,  9.739,  0.735, 4,   0.374, -0.670, -0.359, 5,   5.940,-39.540, 34.620
68558.33542, 3,  -1.498,  9.670,  0.844, 4,   0.380, -0.587, -0.318, 5,   6.060,-39.600, 34.980
68558.35564, 3,  -1.130,  9.316,  0.967, 4,   0.380, -0.671, -0.117, 5,   6.060,-39.480, 35.280
68558.38791, 3,  -0.327,  9.248,  0.259, 4,   0.375, -0.570,  0.097, 5,   5.940,-39.420, 35.460
68558.40849, 3,  -0.150,  9.589, -0.041, 4,   0.360, -0.363,  0.115, 5,   6.060,-39.300, 35.700
68558.42823, 3,  -0.640,  9.725, -0.449, 4,   0.323, -0.292,  0.218, 5,   6.060,-39.000, 35.820
68558.44933, 3,  -0.763,  9.997, -0.627, 4,   0.237, -0.271,  0.418, 5,   6.480,-38.880, 36.120
68558.46846, 3,  -1.594, 10.134, -0.409, 4,   0.162, -0.251,  0.595, 5,   6.780,-38.640, 36.480
68558.48894, 3,  -0.763, 10.120, -0.504, 4,   0.132, -0.211,  0.774, 5,   7.260,-38.400, 36.720
68558.51083, 3,   0.449, 11.182, -1.144, 4,   0.040, -0.026,  0.892, 5,   7.500,-38.040, 37.080
68558.52908, 3,   0.449, 11.182, -1.144, 4,   0.053,  0.000,  0.840, 5,   7.860,-37.920, 37.500
68558.54886, 3,   0.749, 11.850, -0.899, 4,   0.060, -0.064,  0.781, 5,   8.040,-37.620, 37.680
68558.57185, 3,  -0.286, 15.241, -1.839, 4,   0.044, -0.171,  0.777, 5,   8.280,-37.560, 37.920
68558.61679, 3,  -5.448, 18.292, -5.189, 4,   0.106, -0.488,  1.364, 5,   8.400,-37.320, 38.340
68558.64625, 3,  -5.598, 16.481, -4.290, 4,   0.172, -0.211,  1.678, 5,   8.280,-37.140, 38.700
68558.66664, 3,  -0.409, 16.862,  1.199, 4,  -0.009,  0.785,  2.220, 5,   7.680,-36.720, 39.180
68558.69052, 3,   8.744, 18.864,  4.508, 4,  -0.818,  0.086,  3.070, 5,   7.140,-36.360, 39.360
68558.70735, 3,   0.913, 19.191,  3.078, 4,  -1.217, -1.172,  2.348, 5,   6.420,-36.240, 39.420
68558.72728, 3,   0.082, 18.864,  1.376, 4,  -1.214, -1.380,  2.801, 5,   5.700,-35.880, 39.420
68558.74735, 3,   2.029, 18.292,  0.572, 4,  -1.303, -1.757,  3.574, 5,   4.680,-35.520, 39.420
68558.76731, 3,   0.681, 15.704, -0.368, 4,  -1.167, -1.321,  3.194, 5,   3.660,-35.340, 39.360
68558.78773, 3,  -1.008, 11.904, -1.103, 4,  -1.105, -0.185,  2.709, 5,   2.520,-34.860, 39.180
68558.80793, 3,  -1.866,  6.511, -0.858, 4,  -0.982,  0.563,  2.218, 5,   1.440,-34.380, 38.580
68558.82915, 3,  -3.351,  2.343, -0.831, 4,  -0.897,  1.175,  1.491, 5,   0.180,-33.840, 38.220
68558.85446, 3,  -5.543,  2.343, -0.708, 4,  -0.494,  1.934, -0.680, 5,  -1.080,-33.600, 37.620
68558.87113, 3,  -6.224, -1.703, -0.926, 4,  -0.151,  1.777, -1.404, 5,  -2.520,-33.240, 36.720
68558.88988, 3,  -6.007, -2.956, -1.212, 4,   0.177,  1.447, -2.134, 5,  -3.780,-32.940, 36.000
68558.91011, 3,  -4.222, -3.827, -1.771, 4,   0.456,  1.317, -2.788, 5,  -4.980,-32.520, 35.220
68558.93030, 3,  -1.308, -4.154, -1.798, 4,   0.685,  1.560, -3.314, 5,  -5.880,-32.220, 34.380
68558.95052, 3,   0.613, -3.541, -1.798, 4,   0.850,  1.632, -3.841, 5,  -6.600,-31.980, 33.540
68558.96994, 3,   3.487, -3.037,  3.446, 4,   0.964,  0.952, -4.192, 5,  -7.080,-31.680, 32.880
68558.99076, 3,   7.750, -1.362,  6.088, 4,   1.146, -0.255, -3.877, 5,  -7.260,-31.500, 32.160
68559.01676, 3,  12.503,  0.272,  5.244, 4,   1.155, -1.578, -2.258, 5,  -7.200,-31.380, 31.560
68559.03361, 3,  16.018,  9.848, 12.381, 4,  -0.043, -1.171, -1.159, 5,  -6.660,-31.140, 31.200
68559.05157, 3,  17.775, 14.683, -3.569, 4,   1.012, -1.820,  1.804, 5,  -6.060,-31.020, 31.080
68559.07066, 3,  -0.872,  3.623, -7.573, 4,   0.589,  2.471, -1.571, 5,  -5.340,-30.840, 30.840
68559.09180, 3,   1.376,  4.508, -0.218, 4,  -0.805,  1.420,  1.236, 5,  -4.560,-30.780, 30.660
68559.11196, 3,  10.392,  9.344,  0.109, 4,   0.104, -0.365,  1.279, 5,  -3.900,-30.780, 30.360
